INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
마그네슘아세테이트,Magnesium Acetate,,이 원료는 다음의 구조를 갖는 아세틱애씨드의 마그네슘 염이다.,
마그네슘아스코빌포스페이트,Magnesium Ascorbyl Phosphate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
마그네슘아스파테이트,Magnesium Aspartate,,이 원료는 다음의 구조를 갖는 아스파틱애씨드의 마그네슘염이다.,
마그네슘알루미늄실리케이트,Magnesium Aluminum Silicate,,이 원료는 천연에 존재하는 미네랄에서 정제한 복합실리케이트이다.,
마그네슘옥사이드,Magnesium Oxide,,이 원료는 주로 다음의 구조를 갖는 무기산화물이다.,
마그네슘올레스설페이트,Magnesium Oleth Sulfate,,이 원료는 주로 다음의 구조를 갖는 황산화 및 에톡실화 된 올레일알코올의 마그네슘염이다. :n은 평균 1과 4사이의 값을 갖는다.,
구아니딘카보네이트,Guanidine Carbonate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
마그네슘카보네이트,"Magnesium Carbonate,CI 77713",,이 원료는 기본 탈수 마그네슘카보네이트 또는 일반 수화 마그네슘카보네이트이다.,
마그네슘카보네이트하이드록사이드,Magnesium Carbonate Hydroxide,,이 원료는 다음의 구조를 갖는 무기카보네이트이다.,
마그네슘클로라이드,Magnesium Chloride,,이 원료는 다음의 구조를 갖는 무기염이다.,
마그네슘트라이실리케이트,Magnesium Trisilicate,,이 원료는 주로 다음의 구조를 갖는 무기화합물이다.,마그네슘트리실리케이트
마그네슘팔미토일글루타메이트,Magnesium Palmitoyl Glutamate,,이 원료는 다음의 구조를 갖는 치환된 아미노산이다.,
마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드,Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide,,이 원료는 포타슘실리코플루오라이드와 가열한 탈크에서 얻은 물질이다.,
마그네슘포타슘플루오로실리케이트,Magnesium Potassium Fluorosilicate,,이 원료는 주로 다음의 구조를 갖는 무기염이다.,
마그네슘피씨에이,Magnesium PCA,,이 원료는 다음의 구조를 갖는 피롤리딘카복실릭애씨드(PCA)의 마그네슘염이다.,
마그네슘하이드록사이드,Magnesium Hydroxide,,이 원료는 다음의 구조를 갖는 무기염이다.,
황목련꽃추출물,Magnolia Acuminata Flower Extract,,이 원료는 황목련 Magnolia acuminata의 꽃에서 추출한 것이다.,마그놀리아꽃추출물
구아닌,"Guanine,CI 75170",,이 원료는 다음의 구조를 갖는 천연 퓨린이다.,
마누카가지/잎오일,Leptospermum Scoparium Branch/Leaf Oil,,이 원료는 마누카Leptospermum scoparium의 잎과 가지에서 얻은 휘발성 오일이다.,
마늘추출물,Allium Sativum (Garlic) Bulb Extract,,이 원료는 마늘(Garlic) Allium sativum의 비늘줄기에서 추출한 것이다.,
마데카소사이드,Madecassoside,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
마데카식애씨드,Madecassic Acid,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
마돈나백합꽃수,Lilium Candidum Flower Water,,이 원료는 마돈나백합 Lilium candidum의 꽃을 수증기 증류하여 얻은 수용액이다.,
마돈나백합꽃추출물,Lilium Candidum Flower Extract,,이 원료는 마돈나백합 Lilium candidum의 꽃에서 추출한 것이다.,
마돈나백합비늘줄기추출물,Lilium Candidum Bulb Extract,,이 원료는 마돈나백합 Lilium candidum의 비늘줄기에서 추출한 것이다.,
가시칠엽수껍질추출물,Aesculus Hippocastanum (Horse Chestnut) Bark Extract,,이 원료는 가시칠엽수(Horse Chestnut) Aesculus hippocastanum의 나무껍질에서 추출한 것이다.,마로니에껍질추출물
가시칠엽수씨추출물,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,,이 원료는 가시칠엽수(Horse Chestnut) Aesculus hippocastanum의 씨에서 추출한 것이다.,마로니에씨추출물
마뿌리추출물,"Dioscorea Oppositifolia (Wild Yam) Root Extract,Dioscorea Opposita (Wild Yam) Root Extract",,이 원료는 마(Wild Yam) Dioscorea Oppositifolia의 뿌리에서 추출한 것이다.,
구아바잎추출물,Psidium Guajava Leaf Extract,,이 원료는 구아바 Psidium guajava의 잎에서 추출한 것이다.,
마시멜로뿌리,Althaea Officinalis Root,,이 원료는 마시멜로 Althaea officinalis의 뿌리이다.,
마시멜로뿌리추출물,Althaea Officinalis Root Extract,,이 원료는 마시멜로 Althaea officinalis의 뿌리에서 추출한 것이다.,
마시멜로잎/뿌리추출물,Althaea Officinalis Leaf/Root Extract,,이 원료는 마시멜로 Althaea officinalis의 마른잎 및 뿌리에서 추출한 것이다.,
마시멜로잎추출물,Althaea Officinalis Leaf Extract,,이 원료는 마시멜로 Althaea officinalis의 잎에서 추출한 것이다.,
마이카,"Mica,CI 77019",,이 원료는 다양한 화학 조성이지만 유사한 물리적 특성을 가진 일련의 실리케이트미네랄이다.,
마이크로코쿠스용해물,Micrococcus Lysate,,이 원료는 마이크로코쿠스 Microccocus luteus 균류의 발효로 얻은 생성물을 용해 한 것이다.,
마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,,이 원료는 셀룰로오스 섬유의 분리된 아교질의 결정성 부분이다.,
마이크로크리스탈린왁스,"Microcrystalline Wax,Cera Microcristallina",,이 원료는 석유에서 유래한 왁스로 파라핀 왁스의 큰 결정과는 반대로 미세한 결정의 특징이 있다. 이 원료는 고분자량의 포화지방족 탄화수소로 이루어져 있다.,세라마이크로크리스탈리나
삼씨오일,Cannabis Sativa Seed Oil,,이 원료는 삼 Cannabis sativa의 씨를 압착하여 얻은 오일이다.,마인오일
쇠비름추출물,Portulaca Oleracea Extract,,이 원료는 쇠비름 Portulaca oleracea의 전초에서 추출한 것이다.,마치현추출물
구아바열매추출물,Psidium Guajava Fruit Extract,,이 원료는 구아바 Psidium guajava의 열매에서 추출한 것이다.,구아바추출물
퀸즈랜드넛오일,Macadamia Integrifolia Seed Oil,,이 원료는 퀸즈랜드넛 Macadamia integrifolia의 씨에서 얻은 고정유(불휘발성 오일)이다.,마카다미아씨오일
마카다미아씨추출물,Macadamia Ternifolia Seed Extract,,이 원료는 마카다미아 Macadamia ternifolia의 씨에서 추출한 것이다.,
마카뿌리추출물,Lepidium Meyenii Root Extract,,이 원료는 마카 Lepidium meyenii의 뿌리에서 추출한 것이다.,
마테잎추출물,Ilex Paraguariensis Leaf Extract,,이 원료는 마테 Ilex paraguariensis의 잎에서 추출한 것이다.,
마텔오일,Myrtus Communis Oil,,이 원료는 마텔 Myrtus communis에서 얻은 오일이다.,
마텔잎수,Myrtus Communis Leaf Water,,이 원료는 마텔 Myrtus communis의 잎을 수증기증류하여 얻은 수용액이다.,
마텔추출물,Myrtus Communis Extract,,이 원료는 마텔 Myrtus communis의 전초에서 추출한 것이다.,
초마황추출물,Ephedra Sinica Extract,,이 원료는 초마황 Ephedra sinica에서 추출한 것이다.,마황추출물
만난,Mannan,,이 원료는 만노스의 중합체로 구성된 천연의 폴리사카라이드이다.,
구아이아줄렌,Guaiazulene,,이 원료는 다음의 구조를 갖는 착색제이다.,
만니톨,Mannitol,,이 원료는 다음의 구조를 갖는 헥사하이드릭알코올이다.,
필리핀오렌지껍질오일,"Citrus Nobilis (Mandarin Orange) Peel Oil,CITRUS NOBILIS PEEL OIL EXPRESSED",,이 원료는 필리핀오렌지(Mandarin Orange) Citrus nobilis의 껍질에서 얻은 오일이다.,만다린껍질오일
필리핀오렌지껍질추출물,Citrus Nobilis (Mandarin Orange) Peel Extract,,이 원료는 필리핀오렌지(Mandarin Orange) Citrus nobilis의 껍질에서 추출한 것이다.,만다린껍질추출물
필리핀오렌지수,Citrus Nobilis (Mandarin Orange) Water,,이 원료는 필리핀 오렌지(Mandarin Orange) Citrus nobilis을 수증기 증류하여 얻은 수용액이다.,만다린수
필리핀오렌지추출물,Citrus Nobilis (Mandarin Orange) Fruit Extract,,이 원료는 필리핀 오렌지(Mandarin Orange) Citrus nobilis의 열매에서 추출한 것이다.,만다린추출물
만델릭애씨드,Mandelic Acid,,이 원료는 다음의 구조를 갖는 유기산이다.,
만주곰슬껍질추출물,Pinus Tabuliformis Bark Extract,,이 원료는 만주곰슬 Pinus tabuliformis의 껍질에서 추출한 것이다.,만주곰솔껍질추출물
튜베로즈추출물,Polianthes Tuberosa Extract,,이 원료는 튜베로즈 Polianthes tuberosa의 전초에서 추출한 것이다.,만향옥추출물
말굽잔나비버섯추출물,Fomes Officinalis (Mushroom) Extract,,이 원료는 말굽잔나비버섯 (Fomes officinalis)에서 추출한 것이다.,
말라카이트,Malachite,,이 원료는 주로 카퍼카보네이트하이드록사이드로 구성된 미네랄이다.,
힙네아 무스키포르미스추출물,Hypnea Musciformis Extract,,이 원료는 홍조류의 일종인 Hypnea musciformis에서 추출한 것이다.,갈고리가시우무추출물
구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,,이 원료는 하이드록시프로필구아의 4급 암모늄 유도체이다.,구아하이드록시프로필트리모늄클로라이드
말라카이트추출물,Malachite Extract,,이 원료는 바위를 분쇄하여 하이드로클로릭애씨드로 용해하고 소듐바이카보네이트로 중화하여 얻은 말라카이트에서 추출한 것이다,
말레익애씨드,Maleic Acid,,이 원료는 다음의 구조를 갖는 시스 불포화 유기산이다.,
당아욱꽃/잎/줄기추출물,Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract,,"이 원료는 당아욱(Mallow) Malva sylvestris의 꽃, 잎 및 줄기에서 추출한 것이다.",말로우꽃/잎/줄기추출물
당아욱잎가루,Malva Sylvestris (Mallow) Leaf Powder,,이 원료는 당아욱(Mallow) Malva sylvestris의 잎을 건조하여 가루로 한 것이다.,말로우잎가루
당아욱잎추출물,Malva Sylvestris (Mallow) Leaf Extract,,이 원료는 당아욱(Mallow) Malva sylvestris의 잎에서 추출한 것이다.,말로우잎추출물
당아욱추출물,Malva Sylvestris (Mallow) Extract,,이 원료는 당아욱(Mallow) Malva sylvestris의 전초에서 추출한 것이다.,말로우추출물
말리에이티드콩오일,Maleated Soybean Oil,,"이 원료는 조작된 콩오일이며, 싸이클릭 디카복실릭 애씨드를 통해 치환되어 불포화된다. 일반적으로 다음의 구조를 갖는다 : R은 반응하지 않고 남은 콩오일이다.",
아라비안자스민꽃왁스,Jasminum Sambac (Jasmine) Flower Wax,,이 원료는 아라비안자스민(Jasmine) Jasminum sambac 의 꽃에서 얻은 왁스이다.,말리화꽃왁스
아라비안자스민꽃추출물,Jasminum Sambac (Jasmine) Flower Extract,,이 원료는 아라비안자스민(Jasmine) Jasminum sambac의 꽃에서 추출한 것이다.,말리화꽃추출물
아라비안자스민잎세포추출물,Jasminum Sambac (Jasmine) Leaf Cell Extract,,이 원료는 아라비안자스민(Jasmine) Jasminum sambac 의 잎 세포를 배양하여 추출한 것이다.,말리화잎세포추출물
구절초추출물,Chrysanthemum Sibiricum Extract,,이 원료는 구절초 Chrysanthemum sibiricum의 전초에서 추출한 것이다.,구절초추출물
말릭애씨드,Malic Acid,,이 원료는 다음의 구조를 갖는 유기산이다.,
말미잘자포,Sea Anemone Nematocyst,,이 원료는 말미잘의 촉수에서 추출한 자포이다.,
말토덱스트린,Maltodextrin,,이 원료는 전분의 가수분해로 얻은 사카라이드이다.,
말토바이오닉애씨드,Maltobionic Acid,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
말토스,Maltose,,이 원료는 다음의 구조를 갖는 당이다.,
말토실사이클로덱스트린,Maltosyl Cyclodextrin,,이 원료는 말토오스와 사이클로덱스트린의 반응에 의해 얻은 물질이다.,
말티톨,Maltitol,,이 원료는 말토오스에 수소 첨가하여 얻은 디사카라이드폴리올이다.,
말티톨라우레이트,Maltitol Laurate,,이 원료는 다음의 구조를 갖는 말티톨 및 라우릭애씨드의 에스터이다.,
망가니즈글루코네이트,Manganese Gluconate,,이 원료는 다음의 구조를 갖는 글루코닉애씨드의 마그네슘염이다.,
망가니즈다이옥사이드,Manganese Dioxide,,이 원료는 다음의 구조를 갖는 무기산화물이다.,망가니즈디옥사이드
망가니즈바이올렛,"Manganese Violet,Ammonium Manganese(3+) Diphosphate,CI 77742",,이 원료는 주로 다음의 구조를 갖는 무기염이다.,
망가니즈클로라이드,Manganese Chloride,,이 원료는 다음의 구조를 갖는 무기염이다.,
망가니즈피씨에이,Manganese PCA,,이 원료는 피롤리돈카복실릭애씨드(PCA)의 망간염이다.,
망고스틴껍질추출물,Garcinia Mangostana Peel Extract,,이 원료는 망고스틴 (Garcinia mangostana)의 껍질에서 추출한 것이다.,
망고씨,Mangifera Indica (Mango) Seed,,이 원료는 망고 (Mangifera indica)에서 얻은 씨이다.,
망고씨버터,Mangifera Indica (Mango) Seed Butter,,이 원료는 망고(Mango) Mangifera indica의 씨에서 얻은 지방이다.,망고씨드버터
망고씨오일,Mangifera Indica (Mango) Seed Oil,,이 원료는 망고 (Mangifera indica)의 커넬을 압착하여 얻은 불휘발성 오일이다.,
망고잎추출물,Mangifera Indica (Mango) Leaf Extract,,이 원료는 망고 (Mangifera indica)의 잎에서 추출한 것이다.,
망고즙,Mangifera Indica (Mango) Juice,,이 원료는 망고 (Mangifera indica)의 즙이다.,
구주물푸레잎추출물,Fraxinus Excelsior Leaf Extract,,이 원료는 구주물푸레 Fraxinus excelsior의 잎에서 추출한 것이다.,
망고추출물,Mangifera Indica (Mango) Fruit Extract,,이 원료는 망고 (Mangifera indica)의 열매에서 추출한 것이다.,
메도우스위트꽃추출물,Spiraea Ulmaria Flower Extract,,이 원료는 메도우스위트 Spiraea ulmaria의 꽃에서 추출한 것이다.,매도우스위트꽃추출물
메도우스위트잎추출물,Spiraea Ulmaria Leaf Extract,,이 원료는 메도우스위트 Spiraea ulmaria의 잎에서 추출한 것이다.,매도우스위트잎추출물
메도우스위트추출물,Spiraea Ulmaria Extract,,이 원료는 메도우스위트 Spiraea ulmaria에서 추출한 것이다.,매도우스위트추출물
매생이추출물,Capsosiphon Fulvescens Extract,,이 원료는 매생이 (Capsosiphon fulvescens)에서 추출한 것이다.,
매스틱검,Pistacia Lentiscus (Mastic) Gum,,이 원료는 매스틱(Mastic) Pistacia lentiscus 나무에서 얻은 검이다.,
매실수,Prunus Mume Fruit Water,,이 원료는 매실나무 (Prunus mume)의 열매를 수증기 증류하여 얻은 수용액이다.,
매실추출물,Prunus Mume Fruit Extract,,이 원료는 매실나무 (Prunus mume)의 열매에서 추출한 것이다.,
매실나무꽃수,Prunus Mume Flower Water,,이 원료는 매실나무 Prunus mume의 꽃을 수증기 증류하여 얻은 수용액이다.,매화수
매실나무꽃추출물,Prunus Mume Flower Extract,,이 원료는 매실나무 Prunus mume의 꽃에서 추출한 것이다.,매화추출물
구주소나무껍질추출물,Pinus Sylvestris Bark Extract,,이 원료는 구주소나무 Pinus sylvestris의 껍질에서 추출한 것이다.,
소엽맥문동뿌리추출물,Ophiopogon Japonicus Root Extract,,이 원료는 소엽맥문동 Ophiopogon japonica 또는 백합과 다른 종의 뿌리에서 추출한 것이다.,맥문동추출물
맥아추출물,Malt Extract,,이 원료는 부분적으로 발아된 그리고 건조된 보리 씨의 수용성 추출물을 증발하여 얻은 거무스름한 시럽이다.,
머위뿌리추출물,Petasites Japonicus Root Extract,,이 원료는 머위 Petasites japonicus의 뿌리에서 추출한 것이다.,
머위잎/줄기추출물,Petasites Japonicus Leaf/Stem Extract,,이 원료는 머위 (Petasites japonicus)의 줄기 및 잎에서 추출한 것이다.,
우단담배풀추출물,Verbascum Thapsus Extract,,이 원료는 우단담배풀 Verbascum thapsus에서 추출한 것이다.,멀런추출물
멍석딸기추출물,Rubus Parvifolius Fruit Extract,,이 원료는 멍석딸기 (Rubus parvifolius)의 딸기에서 추출한 것이다.,
메도우폼델타-락톤,Meadowfoam Delta-Lactone,,이 원료는 주로 메도우폼씨오일 지방산에서 형성된 락톤이다.,
메도우폼씨오일,Limnanthes Alba (Meadowfoam) Seed Oil,,이 원료는 메도우폼 (Limnanthes alba)의 씨에서 추출한 오일이다.,
메밀씨추출물,Polygonum Fagopyrum (Buckwheat) Seed Extract,,이 원료는 메밀 (Polygonum fagopyrum)의 씨에서 추출한 것이다.,
메밀잎추출물,Polygonum Fagopyrum (Buckwheat) Leaf Extract,,이 원료는 메밀(Buckwheat) Polygonum fagopyrum 잎에서 추출한 것이다.,
구주소나무솔방울추출물,Pinus Sylvestris Cone Extract,,이 원료는 구주소나무 Pinus sylvestris의 솔방울에서 추출한 것이다.,
메티오닌,Methionine,,이 원료는 다음의 구조를 갖는 아미노산이다.,메치오닌
메티콘,Methicone,,이 원료는 선형의 모노메틸폴리실록세인이다. 주로 다음의 구조를 갖는다.,메치콘
메틸글루세스-10,Methyl Gluceth-10,,이 원료는 다음의 구조를 갖는 메틸글루코오스의 폴리에틸렌글라이콜에터며 n은 평균 10이다.,메칠글루세스-10
메틸글루세스-20,Methyl Gluceth-20,,이 원료는 다음의 구조를 갖는 메틸글루코오스의 폴리에틸렌글라이콜에터며 n은 평균 20이다.,메칠글루세스-20
메틸글루세스-20벤조에이트,Methyl Gluceth-20 Benzoate,,이 원료는 메틸글루세스-20과 벤조익애씨드의 에스터이다.,메칠글루세스-20벤조에이트
메틸글루카민,Methylglucamine,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠글루카민
메틸글루코오스다이올리에이트,Methyl Glucose Dioleate,,이 원료는 메틸글루코사이드와 올레익애씨드의 다이에스터이다.,메칠글루코오스디올리에이트
메틸글루코오스세스퀴스테아레이트,Methyl Glucose Sesquistearate,,이 원료는 메틸글루코사이드와 스테아릭애씨드의 모노- 혹은 다이에스터의 혼합물이다.,메칠글루코오스세스퀴스테아레이트
메틸니코티네이트,Methyl Nicotinate,,이 원료는 메틸알코올 및 니코티닉애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠니코티네이트
메틸다이-t-부틸하이드록시하이드로신나메이트,Methyl Di-t-butyl Hydroxyhydrocinnamate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠디-t-부틸하이드록시하이드로신나메이트
구주소나무싹추출물,Pinus Sylvestris Bud Extract,,이 원료는 구주소나무 Pinus sylvestris의 싹에서 추출한 것이다.,
메틸다이아이소프로필프로피온아마이드,Methyl Diisopropyl Propionamide,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠디이소프로필프로피온아마이드
메틸다이하이드로자스모네이트,Methyldihydrojasmonate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠디하이드로자스모네이트
2-메틸레조시놀,2-Methylresorcinol,,이 원료는 다음의 구조를 갖는 방향족 화합물이다.,2-메칠레조시놀
메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 화합물이다,
메틸3-메틸레조실레이트,Methyl 3-Methylresorcylate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠3-메칠레조실레이트
메틸메타크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer,,이 원료는 메틸메타크릴레이트와 에틸글라이콜다이메타크릴레이트모노머의 교차공중합체이다.,메칠메타크릴레이트/글라이콜디메타크릴레이트크로스폴리머
메틸메타크릴레이트/아크릴로나이트릴코폴리머,Methyl Methacrylate/Acrylonitrile Copolymer,,이 원료는 메틸메타크릴레이트 및 아크릴로나이트릴모노머의 공중합체이다.,메칠메타크릴레이트/아크릴로나이트릴코폴리머
메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer,,이 원료는 글라이콜다이메타크릴레이트와 가교된 메틸메타크릴레이트의 공중합체이다.,메칠메타크릴레이트크로스폴리머
메틸벤조에이트,Methyl Benzoate,,이 원료는 다음의 구조를 갖는 메틸알코올과 벤조익애씨드의 에스터이다.,메칠벤조에이트
구주소나무잎오일,Pinus Sylvestris Leaf Oil,,이 원료는 구주소나무 Pinus sylvestris의 바늘잎에서 얻은 휘발성 오일이다.,
4-메틸벤즈알데하이드,4-Methylbenzaldehyde,,이 원료는 다음의 구조를 갖는 유기화합물이다.,4-메칠벤즈알데하이드
4-메칠벤질리덴캠퍼,4-Methylbenzylidene Camphor,,이 원료는 다음의 구조를 갖는 방향족 유기화합물이다.,4-메틸벤질리덴캠퍼
메틸사이클로덱스트린,Methyl Cyclodextrin,,이 원료는 사이클로덱스트린을 메틸화하여 얻은 생성물이다.,메칠사이클로덱스트린
